grade,13,14,15,16,17
K,270,242,260,230,266
1,221,260,224,222,212
2,289,216,261,219,224
3,259,282,214,254,224
4,276,257,286,210,278
5,272,281,264,281,216
6,243,254,266,243,265
7,236,249,262,268,256
8,187,247,255,265,272
